"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTGS2",0,1.77065138019009,1,0,0,"High PTGS2 Fibroblasts","PTGS2"
"SOD2",3.77024754352459e-173,0.988936796000465,0.967,0.878,8.07473916396662e-169,"High PTGS2 Fibroblasts","SOD2"
"IER3",3.58986632562499e-164,0.82976312001561,0.996,0.965,7.68841670959105e-160,"High PTGS2 Fibroblasts","IER3"
"C11orf96",3.37958716913398e-141,0.742864855158443,0.681,0.39,7.23806184013424e-137,"High PTGS2 Fibroblasts","C11orf96"
"INHBA",1.49837939553438e-130,1.31943002038616,0.785,0.567,3.20907915141598e-126,"High PTGS2 Fibroblasts","INHBA"
"KDM6B",7.81512495796583e-124,0.531604711178428,0.737,0.469,1.67376531224754e-119,"High PTGS2 Fibroblasts","KDM6B"
"TNFAIP6",3.9618592217697e-121,0.982696229934063,0.958,0.859,8.48511389526416e-117,"High PTGS2 Fibroblasts","TNFAIP6"
"CXCL2",4.13130212048072e-119,1.33232942094174,0.772,0.54,8.84800975143355e-115,"High PTGS2 Fibroblasts","CXCL2"
"SLC7A5",2.20158752046607e-116,0.3586757124756,0.414,0.17,4.71513999258219e-112,"High PTGS2 Fibroblasts","SLC7A5"
"REL",1.39058104947272e-109,0.518572604886054,0.61,0.346,2.97820743365573e-105,"High PTGS2 Fibroblasts","REL"
"NFKB1",1.34728303339156e-105,0.417378313453755,0.498,0.248,2.88547607261471e-101,"High PTGS2 Fibroblasts","NFKB1"
"MMP3",4.64873129882749e-103,1.86981816264433,0.449,0.226,9.95618782269884e-99,"High PTGS2 Fibroblasts","MMP3"
"TPT1",1.12994399962782e-95,0.360171977805025,1,0.999,2.4200010640029e-91,"High PTGS2 Fibroblasts","TPT1"
"MSC",7.22369253431082e-94,0.409253020508953,0.393,0.176,1.54709823007335e-89,"High PTGS2 Fibroblasts","MSC"
"ACTB",1.43595041399028e-91,-0.38806445431189,0.999,1,3.07537500164299e-87,"High PTGS2 Fibroblasts","ACTB"
"BMP2",2.6190311307587e-87,0.629046248881828,0.334,0.143,5.60917897274592e-83,"High PTGS2 Fibroblasts","BMP2"
"SLC7A2",5.14563196505318e-87,0.796883302759536,0.369,0.173,1.10203999795544e-82,"High PTGS2 Fibroblasts","SLC7A2"
"LIF",1.90468868830347e-86,0.587744108497268,0.276,0.103,4.07927176373955e-82,"High PTGS2 Fibroblasts","LIF"
"CEBPB",3.89859329000258e-85,0.358624205858506,0.612,0.36,8.34961724919852e-81,"High PTGS2 Fibroblasts","CEBPB"
"MTRNR2L2",1.17882537413517e-84,-0.732543948185141,0.752,0.854,2.52469030378529e-80,"High PTGS2 Fibroblasts","MTRNR2L2"
"BDKRB1",4.39908930974854e-83,0.528884653112849,0.423,0.208,9.42152957468845e-79,"High PTGS2 Fibroblasts","BDKRB1"
"SERPINE2",6.05433420627829e-83,0.83181733973902,0.577,0.358,1.29665675695862e-78,"High PTGS2 Fibroblasts","SERPINE2"
"ICAM1",6.45208694583265e-82,0.492627787149104,0.523,0.299,1.38184346118898e-77,"High PTGS2 Fibroblasts","ICAM1"
"NFKBIZ",1.29533998011076e-81,0.484703862556973,0.77,0.579,2.77422963540321e-77,"High PTGS2 Fibroblasts","NFKBIZ"
"ARID5B",9.56923952721696e-81,0.47899161409612,0.932,0.819,2.04944402954406e-76,"High PTGS2 Fibroblasts","ARID5B"
"BIRC3",1.72443008772337e-79,0.523056745175122,0.309,0.13,3.69321191887713e-75,"High PTGS2 Fibroblasts","BIRC3"
"RPS26",2.80705160050478e-79,0.482274356590346,0.982,0.95,6.01186241280108e-75,"High PTGS2 Fibroblasts","RPS26"
"MFSD2A",2.91370339928108e-79,0.299599186214741,0.42,0.204,6.24027857024029e-75,"High PTGS2 Fibroblasts","MFSD2A"
"SQSTM1",1.76497901547281e-77,0.403770080820863,0.98,0.934,3.78005555743811e-73,"High PTGS2 Fibroblasts","SQSTM1"
"SLC39A14",1.8499925033064e-77,0.465235173613859,0.812,0.63,3.96212894433132e-73,"High PTGS2 Fibroblasts","SLC39A14"
"FOS",2.29679722254302e-76,-0.58211163443486,0.951,0.965,4.91905061152038e-72,"High PTGS2 Fibroblasts","FOS"
"PIM3",3.09418257746106e-76,0.259983101800361,0.36,0.164,6.62681082614836e-72,"High PTGS2 Fibroblasts","PIM3"
"TNFAIP8",1.01251565882753e-75,0.365148147185868,0.364,0.172,2.16850478651092e-71,"High PTGS2 Fibroblasts","TNFAIP8"
"FNIP2",4.8403045421129e-75,0.379093833624055,0.602,0.375,1.03664802378432e-70,"High PTGS2 Fibroblasts","FNIP2"
"HMOX1",8.70617279799274e-75,0.64599937362548,0.725,0.521,1.8646010281461e-70,"High PTGS2 Fibroblasts","HMOX1"
"XBP1",1.21157527453791e-72,0.39426278677997,0.918,0.81,2.59483076547784e-68,"High PTGS2 Fibroblasts","XBP1"
"LIMA1",1.30945561883995e-72,-0.497144202543423,0.804,0.857,2.80446109886951e-68,"High PTGS2 Fibroblasts","LIMA1"
"GEM",1.10809218930247e-71,0.52447743266937,0.939,0.826,2.3732010418291e-67,"High PTGS2 Fibroblasts","GEM"
"FOSL1",1.47173650071966e-71,0.302916250146534,0.436,0.225,3.1520180635913e-67,"High PTGS2 Fibroblasts","FOSL1"
"TNFRSF12A",1.86798286999535e-71,0.484695457808493,0.837,0.649,4.00065891266905e-67,"High PTGS2 Fibroblasts","TNFRSF12A"
"ABL2",1.00058009378459e-70,0.360059956215148,0.836,0.633,2.14294238685845e-66,"High PTGS2 Fibroblasts","ABL2"
"CHAC1",1.01192476667276e-69,0.28238860980324,0.301,0.13,2.16723927278304e-65,"High PTGS2 Fibroblasts","CHAC1"
"TSC22D3",2.98891562211019e-65,-0.490074820968658,0.826,0.875,6.4013605878734e-61,"High PTGS2 Fibroblasts","TSC22D3"
"NDUFA4L2",9.69813545472983e-65,0.676690430288365,0.837,0.722,2.07704967033949e-60,"High PTGS2 Fibroblasts","NDUFA4L2"
"PNRC1",2.44922687141957e-64,0.376422037759523,0.702,0.489,5.2455091905193e-60,"High PTGS2 Fibroblasts","PNRC1"
"KLHL21",9.10150058098381e-64,0.270390555998526,0.535,0.314,1.9492683794293e-59,"High PTGS2 Fibroblasts","KLHL21"
"RCAN1",4.75943431957379e-62,0.666383254632294,0.709,0.519,1.01932804822312e-57,"High PTGS2 Fibroblasts","RCAN1"
"JUN",5.41785020531642e-60,-0.547795406234828,0.872,0.901,1.16034097847262e-55,"High PTGS2 Fibroblasts","JUN"
"ERRFI1",1.51037988189693e-59,0.465263680983218,0.939,0.822,3.23478059305865e-55,"High PTGS2 Fibroblasts","ERRFI1"
"PSAP",8.5794428290309e-59,-0.286576873850582,0.996,0.998,1.83745927069355e-54,"High PTGS2 Fibroblasts","PSAP"
"IL8",9.93925028849509e-59,1.34819143475127,0.786,0.644,2.12868923428699e-54,"High PTGS2 Fibroblasts","IL8"
"CXCL3",1.20520588472703e-57,1.14058485857791,0.665,0.481,2.58118944331989e-53,"High PTGS2 Fibroblasts","CXCL3"
"SOX9",1.24181348018449e-57,0.401600559627419,0.452,0.269,2.65959193051112e-53,"High PTGS2 Fibroblasts","SOX9"
"TNFAIP3",1.53550057424766e-57,0.310292160799575,0.323,0.163,3.28858157986622e-53,"High PTGS2 Fibroblasts","TNFAIP3"
"FHL1",2.06451439956464e-56,-0.549395296939106,0.857,0.894,4.42157048954758e-52,"High PTGS2 Fibroblasts","FHL1"
"GPRC5A",2.77693335033319e-56,0.331556164640121,0.895,0.734,5.94735815640859e-52,"High PTGS2 Fibroblasts","GPRC5A"
"PPP1R15A",5.94123495918942e-56,0.302243264589432,0.977,0.895,1.2724342912096e-51,"High PTGS2 Fibroblasts","PPP1R15A"
"MXRA8",6.16448297012472e-56,-0.504417180866806,0.707,0.781,1.32024731771161e-51,"High PTGS2 Fibroblasts","MXRA8"
"ANXA2",9.15880026392574e-56,-0.278743515051469,1,0.998,1.96154025252498e-51,"High PTGS2 Fibroblasts","ANXA2"
"ATF4",1.24995534122008e-55,0.28332660983585,0.977,0.938,2.67702935429104e-51,"High PTGS2 Fibroblasts","ATF4"
"LAPTM4A",2.44536226160825e-55,-0.28869247665373,0.994,0.994,5.23723235568639e-51,"High PTGS2 Fibroblasts","LAPTM4A"
"GAPDH",3.17807757737635e-55,0.366918149875543,1,0.997,6.80648874746692e-51,"High PTGS2 Fibroblasts","GAPDH"
"GPNMB",2.87414328001821e-53,-0.507202630014716,0.713,0.794,6.15555266281501e-49,"High PTGS2 Fibroblasts","GPNMB"
"SAT1",3.32239888263724e-53,0.372216773967066,0.991,0.952,7.11558168694417e-49,"High PTGS2 Fibroblasts","SAT1"
"BTG1",1.32574986827089e-52,0.284580054132904,0.805,0.624,2.83935849287576e-48,"High PTGS2 Fibroblasts","BTG1"
"WTAP",1.92722886142506e-51,0.399632833856069,0.744,0.55,4.12754605251405e-47,"High PTGS2 Fibroblasts","WTAP"
"LINC00152",3.83672073139985e-51,0.402153996575509,0.625,0.442,8.21710479043907e-47,"High PTGS2 Fibroblasts","LINC00152"
"MIR4435-1HG",1.16775903416889e-50,0.415442338237232,0.597,0.411,2.50098952347951e-46,"High PTGS2 Fibroblasts","MIR4435-1HG"
"NFKBIA",7.09473867512211e-50,0.3281368370633,0.979,0.922,1.5194801820509e-45,"High PTGS2 Fibroblasts","NFKBIA"
"ITM2B",2.52751015898066e-48,-0.278739925004378,1,1,5.41316850748887e-44,"High PTGS2 Fibroblasts","ITM2B"
"IGFBP6",3.05327714853983e-48,-0.633324011527328,0.926,0.928,6.53920366902776e-44,"High PTGS2 Fibroblasts","IGFBP6"
"PDE4B",6.56947793216951e-48,0.253371185593904,0.314,0.164,1.40698508873274e-43,"High PTGS2 Fibroblasts","PDE4B"
"TNC",1.04347667216491e-47,0.405561154178038,0.836,0.698,2.23481398877558e-43,"High PTGS2 Fibroblasts","TNC"
"SLC38A2",1.4108984582656e-47,0.292664879981961,0.886,0.743,3.02172122806744e-43,"High PTGS2 Fibroblasts","SLC38A2"
"PTRF",1.48062356705081e-47,-0.349362935382799,0.902,0.909,3.17105149355271e-43,"High PTGS2 Fibroblasts","PTRF"
"HIST1H4C",1.86980728525643e-47,0.321677788509534,0.587,0.401,4.0045662628337e-43,"High PTGS2 Fibroblasts","HIST1H4C"
"TXNIP",7.40217937926257e-47,-0.541919782605839,0.324,0.46,1.58532475765666e-42,"High PTGS2 Fibroblasts","TXNIP"
"ANXA4",3.49199805380798e-46,-0.36979780238412,0.788,0.819,7.47881223184054e-42,"High PTGS2 Fibroblasts","ANXA4"
"LGALS3",1.59425515701262e-45,-0.264181278443793,0.996,0.994,3.41441626977392e-41,"High PTGS2 Fibroblasts","LGALS3"
"CRLF1",5.50507658395334e-45,0.442614247312428,0.703,0.552,1.17902225198529e-40,"High PTGS2 Fibroblasts","CRLF1"
"GSN",7.29504081770028e-45,-0.601058394485128,0.954,0.96,1.56237889192687e-40,"High PTGS2 Fibroblasts","GSN"
"TGIF1",1.39132411678252e-44,0.274824627682553,0.633,0.436,2.97979886091313e-40,"High PTGS2 Fibroblasts","TGIF1"
"ELL2",1.51098364128971e-44,0.259883084147772,0.547,0.356,3.23607366455017e-40,"High PTGS2 Fibroblasts","ELL2"
"MTHFD2",2.15406074763634e-44,0.269559703365079,0.639,0.447,4.61335190321274e-40,"High PTGS2 Fibroblasts","MTHFD2"
"ACTG1",2.85065186493247e-44,-0.270004792170222,0.999,0.998,6.10524109912587e-40,"High PTGS2 Fibroblasts","ACTG1"
"SCRG1",7.28358303712644e-44,0.438109080850593,0.629,0.446,1.55992497906137e-39,"High PTGS2 Fibroblasts","SCRG1"
"SELK",1.33109561480693e-43,0.253495236151734,0.927,0.831,2.85080747823201e-39,"High PTGS2 Fibroblasts","SELK"
"NR4A2",3.84830953351912e-43,0.315438302818345,0.682,0.493,8.2419245279379e-39,"High PTGS2 Fibroblasts","NR4A2"
"MAP3K8",4.19476166750892e-43,0.258103929162775,0.672,0.48,8.98392106330385e-39,"High PTGS2 Fibroblasts","MAP3K8"
"SLC3A2",5.00153197698663e-43,0.32333291065889,0.879,0.737,1.07117810351123e-38,"High PTGS2 Fibroblasts","SLC3A2"
"ARL6IP5",1.06906390328199e-42,-0.273149509491388,0.955,0.961,2.28961416165904e-38,"High PTGS2 Fibroblasts","ARL6IP5"
"MIF",1.74951798953017e-42,0.269145257602068,0.872,0.75,3.74694267817678e-38,"High PTGS2 Fibroblasts","MIF"
"PHLDA1",2.05328860057289e-42,0.37108705214837,0.812,0.647,4.39752819584696e-38,"High PTGS2 Fibroblasts","PHLDA1"
"CKS2",2.24232991360932e-42,0.255202402622275,0.705,0.496,4.80239797597707e-38,"High PTGS2 Fibroblasts","CKS2"
"FTH1",5.55919702320634e-42,0.260113373693542,1,1,1.1906132264601e-37,"High PTGS2 Fibroblasts","FTH1"
"MYL9",5.72508251818001e-41,-0.438521449616716,0.697,0.771,1.22614092291861e-36,"High PTGS2 Fibroblasts","MYL9"
"MT1X",6.15533388310262e-41,0.435431250229906,0.922,0.849,1.31828785774409e-36,"High PTGS2 Fibroblasts","MT1X"
"PLTP",8.04715927018064e-40,-0.520538028527572,0.718,0.782,1.72346010089459e-35,"High PTGS2 Fibroblasts","PLTP"
"MTRNR2L8",9.25176571888476e-40,-0.427962734935396,0.605,0.692,1.98145066401355e-35,"High PTGS2 Fibroblasts","MTRNR2L8"
"CFD",1.42529573265831e-38,-0.532928487627448,0.861,0.896,3.0525558706343e-34,"High PTGS2 Fibroblasts","CFD"
"TSC22D1",3.395769164198e-38,0.386030347472771,0.691,0.523,7.27271881896285e-34,"High PTGS2 Fibroblasts","TSC22D1"
"HTRA1",4.20290526875587e-38,0.666057774169628,0.937,0.898,9.00136221409444e-34,"High PTGS2 Fibroblasts","HTRA1"
"PLAUR",5.04481631572663e-38,0.262593099585596,0.713,0.55,1.08044831033917e-33,"High PTGS2 Fibroblasts","PLAUR"
"CXCL1",8.01342688958801e-38,1.0091914547561,0.599,0.436,1.71623563694306e-33,"High PTGS2 Fibroblasts","CXCL1"
"INSIG1",4.30998559802446e-36,0.318625682484031,0.74,0.577,9.23069615528898e-32,"High PTGS2 Fibroblasts","INSIG1"
"RTN4",1.48668122462469e-35,-0.284492885406439,0.917,0.912,3.18402517877869e-31,"High PTGS2 Fibroblasts","RTN4"
"TMSB4X",3.49221353501525e-35,-0.28729468386484,1,1,7.47927372794217e-31,"High PTGS2 Fibroblasts","TMSB4X"
"WISP2",5.85202019130654e-35,-0.598449412904508,0.643,0.744,1.25332716437212e-30,"High PTGS2 Fibroblasts","WISP2"
"MTRNR2L12",5.94301522129652e-35,-0.444420830066533,0.629,0.696,1.27281556994508e-30,"High PTGS2 Fibroblasts","MTRNR2L12"
"ADAMTS5",7.02002785098059e-35,0.348632306835367,0.365,0.225,1.50347936484451e-30,"High PTGS2 Fibroblasts","ADAMTS5"
"FSTL1",1.76065540591785e-34,-0.351311228875097,0.958,0.952,3.77079568285426e-30,"High PTGS2 Fibroblasts","FSTL1"
"MT-ND3",1.91585575066874e-34,-0.283183475556025,0.985,0.988,4.10318826120724e-30,"High PTGS2 Fibroblasts","MT-ND3"
"BTG2",1.18821413792008e-32,0.36714414432007,0.732,0.582,2.54479821918344e-28,"High PTGS2 Fibroblasts","BTG2"
"CAPN2",1.34579102781691e-32,-0.296558353423904,0.753,0.764,2.88228064427549e-28,"High PTGS2 Fibroblasts","CAPN2"
"IER2",6.59234095210124e-32,-0.367678539061865,0.848,0.854,1.41188166171152e-27,"High PTGS2 Fibroblasts","IER2"
"ID2",1.59898130111342e-31,0.283066853073889,0.975,0.92,3.42453825259461e-27,"High PTGS2 Fibroblasts","ID2"
"LTBP4",2.14410107070289e-31,-0.433540590641692,0.456,0.542,4.59202126312439e-27,"High PTGS2 Fibroblasts","LTBP4"
"TNFRSF11B",7.30947888723011e-31,0.4976483022468,0.552,0.41,1.56547109327807e-26,"High PTGS2 Fibroblasts","TNFRSF11B"
"GADD45B",1.30556477956385e-30,-0.379193427872471,0.953,0.946,2.79612808839191e-26,"High PTGS2 Fibroblasts","GADD45B"
"DDAH2",2.5897128176374e-30,-0.279809012245973,0.816,0.83,5.54638794153403e-26,"High PTGS2 Fibroblasts","DDAH2"
"HES1",3.15869946093367e-30,-0.412956341942131,0.447,0.545,6.76498663548163e-26,"High PTGS2 Fibroblasts","HES1"
"TREM1",3.20898934041725e-30,0.326849954672706,0.627,0.49,6.87269247037162e-26,"High PTGS2 Fibroblasts","TREM1"
"PRELP",8.00896838084761e-30,0.51025033096142,0.931,0.884,1.71528075812613e-25,"High PTGS2 Fibroblasts","PRELP"
"CHI3L2",9.20326755351997e-30,0.300419518090272,0.499,0.349,1.97106381193737e-25,"High PTGS2 Fibroblasts","CHI3L2"
"AKR1B1",1.22133022856428e-29,0.33674113092565,0.774,0.65,2.61572295051611e-25,"High PTGS2 Fibroblasts","AKR1B1"
"VCAM1",6.61578250410869e-29,0.398226475402048,0.63,0.473,1.41690213890496e-24,"High PTGS2 Fibroblasts","VCAM1"
"SDC2",7.49327162613429e-29,-0.307788605466835,0.924,0.91,1.60483398416918e-24,"High PTGS2 Fibroblasts","SDC2"
"SCARA5",1.26684570746884e-28,-0.343397808331462,0.458,0.551,2.713203451686e-24,"High PTGS2 Fibroblasts","SCARA5"
"SERPING1",3.31611470922365e-28,-0.273764135268595,0.953,0.952,7.10212287274429e-24,"High PTGS2 Fibroblasts","SERPING1"
"CLU",1.03555939216248e-27,0.447078808794488,0.997,0.988,2.21785755019437e-23,"High PTGS2 Fibroblasts","CLU"
"SRGN",9.57406224140431e-27,0.260087738154812,0.429,0.296,2.05047691024156e-22,"High PTGS2 Fibroblasts","SRGN"
